date,pm25, pm10, o3, no2, so2, co
2020/4/14,89,71,115,33,2,5
2020/4/15,137,63,50,29,3,6
2020/4/16,117,49,46,22,3,5
2020/4/17,92,51,42,26,2,5
2020/4/18,98,47,32,20,3,5
2020/4/19,90,31, ,11,3,4
2020/4/20,58,34,18,18,5,5
2020/4/21,72,28,45,18,2,6
2020/4/22,58,32,31,21,2,8
2020/4/23,64,44,25,17,3,7
2020/4/24,79,55,43,28,3,6
2020/4/25,108,100,125,36,4,8
2020/4/26,178,87,82,36,5,7
2020/4/27,154,62,92,26,3,6
2020/4/28,106,55,58,19,2,6
2020/4/29,85,49,51,15,3,5
2020/4/30,92,29,26,4,3,5
2020/3/1,93,34,38,6,2,6
2020/3/2,71,37,33,5,2,6
2020/3/3,67,27,22,17,2,6
2020/3/4,58,43,31,14,2,8
2020/3/5,51,41,40,11,3,6
2020/3/6,82,49,37,18,3,5
2020/3/7,96,39,26,19,3,5
2020/3/8,86,37, ,22,2,5
2020/3/9,79,31,45,16,2,7
2020/3/10,67,45,43,15,2,6
2020/3/11,85,66,41,15,2,5
2020/3/12,106,54,24,22,2,6
2020/3/13,116,38, ,17,2,7
2020/3/14,83,55, ,16,3,6
2020/3/15,110,48,52,2,2,4
2020/3/16,72,53,52,12,3,5
2020/3/17,87,54,33,21,2,6
2020/3/18,107,44,26,28,3,7
2020/3/19,99,50,40,23,2,7
2020/3/20,116,57,31,23,2,6
2020/3/21,95,49,31,28,3,8
2020/3/22,90,46,48,26,3,4
2020/3/23,90,47,45,18,2,5
2020/3/24,89,45,38,17,3,5
2020/3/25,78,43,33,21,3,5
2020/3/26,82,37,28,19,2,5
2020/3/27,78,46,29,24,3,6
2020/3/28,97,34,32,6,2,5
2020/3/29,48,36,25,14,3,6
2020/3/30,66,41,10,15,3,7
2020/3/31,74,29,19,13,2,6
2020/2/1,102,49,44,10,2,6
2020/2/2,98,46,43,14,3,5
2020/2/3,101,31,27,13,3,6
2020/2/4,80,31,38,11,2,6
2020/2/5,70,42,38,10,3,5
2020/2/6,75,47,30,14,3,5
2020/2/7,92,15,22,11,2,6
2020/2/8,44,23,26,11,3,6
2020/2/9,74,36,30,13,3,6
2020/2/10,94,51,35,15,3,6
2020/2/11,119,59,33,21,3,6
2020/2/12,126,36,26,19,3,6
2020/2/13,89,21,27,15,3,5
2020/2/14,56,29,26,15,3,5
2020/2/15,69,14,25,12,3,7
2020/2/16,37,22,35,11,3,6
2020/2/17,77,28,41,13,3,5
2020/2/18,71,38,41,19,3,6
2020/2/19,79,37,48,18,3,6
2020/2/20,78,37,41,20,3,6
2020/2/21,76,57,90,23,3,7
2020/2/22,121,42,51,14,3,7
2020/2/23,84,53,44,13,3,7
2020/2/24,89,53,40,26,3,6
2020/2/25,92,41,58,21,3,6
2020/2/26,85,34,44,16,3,6
2020/2/27,74,45,49,18,3,7
2020/2/28,89,39,31,26,3,7
2020/2/29,77,50,42,30,4,6
2020/1/1,143,57,31,22,2,6
2020/1/2,113,82,59,41,3,7
2020/1/3,156,91,66,37,3,7
2020/1/4,160,50,38,19,3,5
2020/1/5,98,35,33,7,2,4
2020/1/6,61,63,42,35,3,6
2020/1/7,111,65,46,27,3,6
2020/1/8,105,60,39,21,2,7
2020/1/9,93,63,47,35,3,7
2020/1/10,123,74,45,35,3,6
2020/1/11,155,46,36,19,3,8
2020/1/12,75,63,41,29,3,8
2020/1/13,111,56,46,27,2,7
2020/1/14,125,60,45,20,2,7
2020/1/15,116,66,45,27,3,6
2020/1/16,140,43,32,19,2,8
2020/1/17,78,49,37,16,2,8
2020/1/18,90,54,27,12,3,6
2020/1/19,118,25,40,5,3,8
2020/1/20,95,37,45,11,2,6
2020/1/21,112,39,46,24,2,6
2020/1/22,118,46,39,21,3,6
2020/1/23,100,34,36,15,3,6
2020/1/24,76,41,32,13,2,6
2020/1/25,118,18,19,9,2,7
2020/1/26,54,16,23,10,2,6
2020/1/27,39,20,28,10,3,6
2020/1/28,67,28,35,11,3,6
2020/1/29,88,35,41,14,2,6
2020/1/30,101,44,45,12,2,4
2020/1/31,105,46,48,14,3,6
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
