is_hr,city,scale,is_view,name,url,industry,deliver,ad_type,refresh,month_num,cname,ftype,invite,maxsal,job_label,type,day,minsal,uuid
False,广州,2000人以上,False,数据分析实习生,https://sxsimg.xiaoyuanzhao.com/B6/C8/B68A699F3DF49A7B3F204CBE1F4218C8.png,互联网/游戏/软件,False,f,09-03,3,小鹏汽车,0,False,180,"{'is_ji': False, 'is_quick': False}",intern,5,120,inn_rzlro3mgem6z
False,北京,2000人以上,False,大数据开发实习生,https://sxsimg.xiaoyuanzhao.com/88/B9/88810A20F8A647FA0CBF93FF048990B9.png,互联网/游戏/软件,False,f,08-27,4,滴滴,1,False,250,"{'is_ji': False, 'is_quick': False}",intern,5,200,inn_yngfbb2csyko
False,广州,500-2000人,False,需求分析师,https://sxsimg.xiaoyuanzhao.com/5B/2B/5BC9B3ECEB09CAF1037472348F80DE2B.png,医疗/健康/制药/生物,False,f,08-26,3,万孚生物,1,False,0,"{'is_ji': False, 'is_quick': False}",intern,5,0,inn_cuqviqscuks2
False,北京,150-500人,False,数据分析师,https://sxsimg.xiaoyuanzhao.com/A8/9C/A8317E273BBA42CF6E8C3645BFBF2B9C.jpg,互联网/游戏/软件,False,f,08-24,3,云畅游戏,0,False,250,"{'is_ji': False, 'is_quick': False}",intern,5,200,inn_chaeripxji8h
False,上海,500-2000人,False,数据分析师（实习）,https://sxsimg.xiaoyuanzhao.com/3F/FB/3F9D07ED2D8CA93D7ECB652C87CDA3FB.png,互联网/游戏/软件,False,f,08-24,6,虎扑,0,False,400,"{'is_ji': False, 'is_quick': False}",intern,5,300,inn_tcxnvj6vbim4
False,北京,2000人以上,False,量化投资实习生,https://sxsimg.xiaoyuanzhao.com/25/19/259B0946C5E1E2AC04CE9DC0C53B2919.png,互联网/游戏/软件,False,f,08-17,7,京东数科,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,5,120,inn_zsnc2hmx2yrq
False,大连,50-150人,False,数据处理实习生,https://sxsimg.xiaoyuanzhao.com/99/C9/99FF014B69E1944B5B16AA2227B01CC9.jpg,互联网/游戏/软件,False,f,08-12,6,窝创网络,1,False,100,"{'is_ji': False, 'is_quick': False}",intern,6,80,inn_meq6w6jmbqbf
False,上海,50-150人,False,渗透测试工程师,https://sxsimg.xiaoyuanzhao.com/76/0A/763BE0E9C929BE9537AF11E6D9AC910A.png,互联网/游戏/软件,False,f,07-30,12,漏洞银行,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,4,80,inn_50gohocxm2pd
False,北京,15-50人,False,数据挖掘工程师,https://sxsimg.xiaoyuanzhao.com/22/3C/22A10DBF87031C8DE0D780DF8BCD7F3C.jpg,互联网/游戏/软件,False,f,04-14,12,瞳门科技,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,150,inn_ruhpygvrnnqy
False,北京,500-2000人,False,数据挖掘实习生,https://sxsimg.xiaoyuanzhao.com/A6/A6/A666AE2A11EA219A6F9EA3A4AF0337A6.jpg,互联网/游戏/软件,False,f,04-08,3,搜狐畅游,0,False,200,"{'is_ji': False, 'is_quick': False}",intern,4,150,inn_mhzmkddwy2cx
False,北京,2000人以上,False,社交内容数据挖掘助理研究员（中科院特别研究助理）,https://sxsimg.xiaoyuanzhao.com/DF/5A/DF3D1BB794AD5624D0FCA2995CC07D5A.jpg,互联网/游戏/软件,False,f,01-11,12,中科院计算所,0,False,300,"{'is_ji': False, 'is_quick': False}",intern,1,150,inn_0y74jihbzy0p
False,上海,2000人以上,False,数据挖掘实习生,https://sxsimg.xiaoyuanzhao.com/99/B7/9934093BA0C3A665415E2CDAAAC7D5B7.jpeg,互联网/游戏/软件,False,f,12-18,3,平安科技,0,False,300,"{'is_ji': False, 'is_quick': False}",intern,4,300,inn_ld9vmqbnzs0e
False,成都,15-50人,False,数据标注实习生,https://sxsimg.xiaoyuanzhao.com/82/42/8216BF4D853639599187EBCD807EC442.png,互联网/游戏/软件,False,f,09-29,5,聚微启创,0,False,80,"{'is_ji': False, 'is_quick': False}",intern,5,50,inn_uucii55rz9vu
False,上海,15-50人,False,智能网联汽车数据管理工程师,https://sxsimg.xiaoyuanzhao.com/6D/71/6DE4C968BF1147965A90E665C0BAE571.png,互联网/游戏/软件,False,f,07-03,1,淞泓智能,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,4,100,inn_wvyxblkoelxk
False,北京,15-50人,False,数据挖掘工程师,https://sxsimg.xiaoyuanzhao.com/FB/E5/FB737129E61440A74910925E49B151E5.jpg,互联网/游戏/软件,False,f,05-20,12,Baca,1,False,400,"{'is_ji': False, 'is_quick': False}",intern,5,300,inn_3senichjqvxw
False,珠海,150-500人,False,数据运营（统计学专业）,https://sxsimg.xiaoyuanzhao.com/6A/B3/6AB7D2F730DFF0976B194CC6FC964AB3.png,农林牧渔/其他,False,f,03-05,12,喜文,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,150,inn_rawolpns8kqy
